City,State,Latitude,Longitude,Population,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
Richmond,VA,37.5418550226,-77.4828683919,1440,76.3,25.2,17.4,6.7,82.8,3.1,71.8,5.4,33.1,36.9,6.0,8.7,14.6,73.6,12.1,9.8,36.6,35.6,85.0,10.0,30.2,85.8,10.2,20.4,35.2,3.4,82.4,10.8
Washington,DC,38.9102340252,-76.9812278031,2412,83.3,23.4,18.8,4.8,78.1,3.6,61.4,7.2,23.4,22.0,5.7,12.1,23.1,65.3,14.0,10.1,39.8,35.6,83.5,13.5,35.0,87.9,12.9,23.9,44.0,4.6,78.0,21.7
Richmond,VA,37.5099923484,-77.5170857854,5325,75.8,23.8,14.6,5.0,71.3,3.5,60.1,7.2,28.2,28.6,6.1,11.0,22.8,55.0,13.1,19.9,36.6,32.9,84.5,15.2,37.5,84.5,13.9,31.1,42.8,4.3,77.0,23.2
Baltimore,MD,39.283302628,-76.5656489594,2652,68.4,16.9,25.7,4.9,75.2,1.7,73.9,3.8,48.1,43.7,3.5,9.2,14.8,72.8,5.0,7.3,21.7,27.8,82.2,10.2,22.3,,6.6,15.1,33.3,1.6,67.8,8.0
Baltimore,MD,39.3516274348,-76.6998416336,3226,80.4,31.0,13.4,5.7,76.5,4.1,62.9,8.5,29.3,29.5,7.4,13.6,24.2,48.1,17.5,14.4,46.7,37.8,85.0,15.0,42.1,,14.6,33.9,47.5,5.4,81.1,23.3
Richmond,VA,37.5329098815,-77.3979245423,2619,79.3,30.3,12.7,5.8,77.2,4.5,59.9,8.9,22.8,27.0,8.2,11.5,24.3,52.3,19.6,19.9,47.7,38.6,84.7,15.0,42.3,85.1,16.8,35.2,44.9,6.3,83.5,27.3
Richmond,VA,37.563467076,-77.4180218451,2957,79.6,30.3,12.4,5.5,74.2,4.5,58.5,9.2,22.6,26.9,8.2,11.7,25.7,50.1,20.1,20.9,49.8,40.2,84.9,15.6,44.2,84.8,17.2,36.6,46.2,6.3,83.2,28.3
Washington,DC,38.9295439603,-77.076667174,4620,78.7,19.9,23.8,7.4,84.5,2.4,74.9,4.1,40.9,35.2,4.7,8.1,10.0,86.1,6.3,3.8,24.2,33.2,79.8,7.7,17.4,87.8,6.6,11.1,28.1,2.2,77.1,5.8
Alexandria,VA,38.8076623401,-77.100919619,4490,72.7,22.0,16.3,5.6,78.9,2.6,67.4,5.1,39.3,35.9,5.1,8.4,15.4,65.5,9.9,14.6,31.6,34.2,82.1,10.8,27.7,85.1,10.6,21.8,33.9,2.7,76.8,13.2
Baltimore,MD,39.3122916133,-76.6305710712,2775,77.8,25.4,15.2,4.4,74.4,3.3,61.7,7.0,31.7,30.7,5.7,13.3,23.5,50.6,13.7,12.9,39.2,33.3,86.1,15.2,40.3,,12.8,29.4,46.4,4.1,76.4,19.7
Washington,DC,38.8266497689,-76.9984610365,4365,82.3,22.6,17.9,4.0,70.5,3.7,55.8,8.3,19.8,19.9,5.4,13.6,29.9,55.1,13.8,13.2,38.3,33.8,81.9,17.0,38.4,86.6,14.7,29.1,47.8,4.9,74.2,30.2
Baltimore,MD,39.2510536348,-76.6407476087,4689,73.8,24.2,17.6,4.6,71.0,3.0,61.4,7.1,33.5,33.4,5.7,12.3,24.9,50.2,11.9,17.1,35.8,34.4,82.2,15.1,36.1,,12.6,30.8,44.5,3.5,74.4,20.6
Washington,DC,38.8843187043,-76.9250526037,2795,83.4,24.2,18.2,4.8,76.2,3.7,59.9,8.0,21.8,21.1,5.9,12.9,26.5,60.7,14.5,11.8,40.1,35.3,82.2,14.8,35.9,86.7,13.9,27.2,45.8,5.0,77.9,26.0
Alexandria,VA,38.8382384687,-77.1138005033,3176,74.8,25.7,15.3,8.2,79.0,3.1,68.1,5.4,42.6,34.0,6.8,7.9,12.8,68.3,9.2,13.9,34.8,35.8,82.3,9.7,23.9,85.3,10.4,21.7,31.2,3.4,80.3,12.9
Washington,DC,38.8773707663,-76.9678810881,2007,84.7,28.1,16.3,5.7,78.7,4.3,60.8,9.0,21.5,20.6,7.5,12.5,25.3,61.0,17.2,11.2,45.9,39.5,82.6,14.1,37.1,86.9,15.0,28.2,45.0,6.0,81.2,25.4
Richmond,VA,37.5939551657,-77.4433431456,1266,80.9,32.8,10.9,6.0,75.7,5.1,59.0,10.2,22.0,25.7,9.0,12.5,25.2,48.1,21.8,21.6,49.2,39.7,85.2,16.3,44.5,84.1,18.5,38.9,46.0,7.2,84.2,30.3
Richmond,VA,37.5903157595,-77.4660882526,3988,79.0,31.0,14.6,10.4,86.1,3.6,71.4,6.3,38.3,37.7,8.2,8.0,12.0,76.8,11.2,9.1,39.1,38.9,83.3,8.8,24.8,85.6,10.8,21.7,30.9,4.0,85.0,10.3
Washington,DC,38.928876607,-77.0299411371,3398,75.1,13.6,26.6,3.5,73.3,2.1,66.4,3.9,27.7,25.8,3.0,9.6,16.3,75.6,6.6,7.4,22.2,26.5,83.7,10.9,23.6,87.6,7.5,14.6,35.4,2.1,68.2,12.4
Washington,DC,38.9557853796,-77.0142358815,4648,83.5,21.4,20.7,5.7,82.4,3.0,69.6,5.0,28.5,26.9,5.0,10.1,15.3,76.6,11.3,7.7,36.8,34.3,83.6,9.5,27.9,88.8,9.2,17.8,38.3,3.6,79.8,13.4
Washington,DC,38.9593416105,-77.0359287407,2340,80.0,21.4,21.2,5.3,80.4,3.1,65.2,6.2,28.8,25.7,5.5,10.3,18.5,72.1,11.4,10.4,32.7,35.0,81.2,11.3,28.2,86.5,11.0,20.3,37.9,3.6,77.1,16.1
Baltimore,MD,39.2847466588,-76.6755998673,1426,81.1,35.2,11.9,6.2,75.6,5.0,57.8,10.9,26.1,26.4,9.3,15.1,28.0,40.8,21.0,17.7,50.2,40.1,84.0,17.2,44.5,,17.9,40.2,49.2,7.2,82.4,31.1
Alexandria,VA,38.8246145717,-77.0448145724,5606,73.1,20.4,19.1,6.4,85.8,2.1,77.2,3.5,46.2,43.5,4.0,7.6,9.7,79.6,6.9,6.4,26.8,32.0,83.6,8.0,22.4,88.2,7.2,12.9,28.2,1.9,77.6,5.7
Alexandria,VA,38.8327237242,-77.0634792242,3049,69.9,14.8,22.2,4.5,80.9,1.6,75.3,2.6,47.7,44.1,2.7,7.2,9.7,79.5,5.1,7.5,21.5,27.3,84.5,8.0,21.6,88.3,6.0,11.7,28.9,1.3,70.3,5.0
Baltimore,MD,39.3378525848,-76.6661876644,4546,79.8,32.7,12.0,5.2,71.1,4.8,56.1,10.8,24.4,24.6,8.7,15.2,30.2,37.1,20.4,19.0,49.4,39.4,84.8,18.4,46.4,,18.0,41.1,50.3,7.0,80.5,33.9
Alexandria,VA,38.8027737147,-77.1237845659,1364,67.4,11.3,23.9,3.1,77.8,1.3,72.1,2.3,41.1,42.2,1.9,7.5,11.9,75.6,4.2,8.8,17.9,22.8,84.4,9.0,21.8,87.3,5.8,12.1,31.6,1.0,62.2,5.5
Washington,DC,38.9013311276,-76.9534288384,3280,82.4,25.0,16.2,4.3,68.9,4.2,53.4,9.8,19.2,18.1,6.1,14.6,31.5,50.8,15.5,14.7,40.4,35.8,81.8,18.6,39.7,86.3,16.6,32.5,48.2,5.8,75.7,35.3
Baltimore,MD,39.2764467748,-76.6267099758,2130,72.3,22.1,18.6,4.2,72.3,2.8,61.5,6.4,35.3,32.4,4.9,11.9,23.8,52.9,10.3,12.4,32.1,31.0,83.9,14.9,34.9,,11.4,26.6,42.9,3.2,72.4,18.9
Baltimore,MD,39.3123658698,-76.6406786886,2269,80.3,31.3,12.6,5.3,75.2,4.3,59.9,9.2,26.6,26.5,7.8,14.3,26.4,44.0,18.6,15.9,47.8,38.0,85.0,16.2,44.1,,15.8,36.2,48.5,6.0,80.8,27.2
