Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Greenville, NC",71.9,18.2,18.6,4.2,67.5,2.5,66.9,5.5,37.0,32.9,4.6,9.6,20.0,60.0,8.7,16.9,27.6,29.5,80.5,15.1,33.3,84.4,10.9,22.1,37.9,2.8,70.4,18.9
"St. Joseph, MO",69.8,29.3,18.6,6.8,71.3,3.0,56.7,8.9,37.3,33.5,7.1,10.1,26.7,51.6,10.9,16.3,33.9,39.6,74.4,15.0,40.9,80.9,16.0,30.1,34.8,3.5,77.5,19.8
"Gulfport, MS",72.4,29.1,12.6,5.8,71.6,3.4,54.4,7.9,33.2,29.8,7.4,9.2,24.0,55.1,12.6,20.0,40.8,36.6,73.7,15.0,39.1,84.2,14.6,30.2,38.2,4.1,77.8,22.6
"Rock Hill, SC",67.7,25.7,18.1,5.6,73.2,2.9,64.2,6.8,42.6,30.3,5.7,9.9,20.7,57.3,10.9,17.2,34.2,33.5,79.4,15.0,34.1,83.5,13.4,30.1,40.8,3.3,74.4,16.7
"Cincinnati, OH",75.2,26.4,16.9,5.5,70.2,3.2,60.6,7.9,31.0,27.0,6.4,10.9,22.7,58.5,12.8,12.2,34.1,35.4,80.3,15.0,36.3,86.0,13.7,29.5,42.6,3.9,78.7,20.6
"Lowell, MA",72.6,22.3,16.4,5.1,71.1,2.7,61.5,6.6,28.2,26.1,5.6,10.9,20.1,57.1,9.7,11.7,28.3,34.8,81.9,15.0,26.2,79.5,12.9,26.7,36.7,2.9,75.2,23.0
"Waco, TX",67.8,22.7,16.4,5.2,63.9,3.1,58.8,6.7,29.7,25.4,6.1,10.0,20.1,54.0,11.6,26.3,31.3,36.5,75.5,15.0,36.8,80.3,13.7,30.8,34.8,3.5,74.9,18.1
"Norman, OK",67.0,21.6,14.7,5.2,67.3,2.3,63.2,5.8,37.7,35.5,5.2,9.9,16.6,65.8,8.0,13.7,29.0,34.1,77.1,14.9,30.0,82.0,11.6,24.2,33.6,2.4,71.6,12.9
"Perris, CA",61.7,16.6,17.9,3.6,63.4,2.9,58.4,5.3,23.6,24.8,4.7,9.3,17.4,52.0,10.4,23.1,26.8,31.4,81.2,14.9,33.0,84.4,14.2,28.6,41.6,2.7,62.1,18.7
"Scranton, PA",72.9,29.8,18.9,7.0,71.7,3.3,59.6,8.3,37.1,29.3,7.9,10.7,21.3,59.0,11.2,11.4,33.3,37.4,77.1,14.9,31.4,80.6,14.4,28.4,36.3,3.9,77.8,19.4
