Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"O'Fallon, MO",69.9,25.1,21.6,5.9,76.7,2.1,66.6,5.7,45.4,41.0,4.7,9.1,19.2,66.7,7.4,10.9,27.0,31.8,77.9,12.0,31.4,84.7,10.5,19.9,33.4,2.1,74.2,10.8
"Yonkers, NY",71.6,25.0,17.1,6.2,76.8,3.0,65.3,6.5,35.4,31.3,6.2,10.7,15.9,63.0,10.8,14.7,29.6,37.9,78.1,12.0,25.5,82.7,13.0,29.2,36.3,3.2,74.8,15.3
"McAllen, TX",64.5,19.0,14.5,4.6,69.3,3.5,54.3,5.4,29.5,26.0,6.2,7.7,13.9,54.1,12.8,34.5,30.4,38.1,78.2,12.0,31.4,81.7,13.3,27.9,32.5,3.1,75.1,13.6
"Napa, CA",63.8,20.7,19.2,6.5,75.4,2.8,69.3,5.9,37.9,30.3,5.8,8.9,14.5,70.2,8.9,12.3,28.1,34.1,76.7,12.0,24.0,83.9,12.0,19.8,32.7,2.8,70.2,11.2
"Charlotte, NC",74.1,17.8,17.6,5.0,76.5,2.6,65.8,5.2,37.3,34.8,4.8,8.6,17.1,66.2,9.1,17.2,30.5,32.2,81.9,11.9,29.1,87.0,10.3,19.1,33.4,2.8,72.8,15.1
"Clovis, CA",63.1,19.5,17.7,5.8,75.3,2.6,67.2,5.6,37.4,32.6,5.1,9.1,14.2,68.7,8.9,10.3,27.0,32.7,78.8,11.9,29.1,81.0,11.2,18.6,33.5,2.6,69.9,12.0
"Davenport, IA",70.7,24.7,21.5,6.4,71.4,2.7,63.9,6.0,41.0,33.7,6.2,8.6,19.7,67.9,10.0,8.9,29.2,36.7,79.8,11.9,32.6,83.5,11.0,24.2,30.3,3.1,77.1,14.8
"Garden Grove, CA",64.9,17.3,13.9,4.7,71.1,2.8,60.2,5.3,34.4,29.2,5.3,8.0,14.5,58.4,11.5,15.5,27.2,35.9,77.1,11.9,21.1,77.6,12.5,23.7,35.7,2.6,70.4,12.9
"Bend, OR",60.6,23.9,21.0,6.6,74.1,2.6,66.4,5.7,28.6,30.8,5.5,9.7,15.2,68.4,7.5,8.8,24.5,33.2,74.7,11.9,26.0,84.9,10.5,14.1,29.7,2.6,70.4,11.9
"Appleton, WI",69.5,22.4,24.0,6.3,75.2,2.5,68.3,5.6,35.1,29.6,5.7,8.9,17.9,74.1,8.3,10.2,27.0,33.5,78.1,11.9,30.2,83.8,10.9,19.1,29.8,2.6,73.4,12.8
"Corona, CA",64.2,17.3,19.6,4.7,73.2,2.5,67.5,4.7,31.1,32.1,4.5,8.3,14.2,65.4,8.6,13.6,25.4,30.9,81.2,11.9,27.1,84.4,11.2,21.2,38.4,2.3,65.5,12.1
"Upland, CA",66.4,19.8,17.6,5.7,76.6,2.8,66.6,5.4,31.6,32.3,5.3,9.0,13.5,65.6,9.5,12.0,29.1,35.0,82.1,11.9,25.1,83.6,11.6,19.5,36.6,2.7,69.7,11.5
"Somerville, MA",71.3,16.4,21.5,4.5,73.1,1.9,70.0,4.0,33.4,30.8,3.5,10.1,14.4,69.9,5.7,7.2,21.2,27.5,83.9,11.9,22.3,84.2,8.4,16.7,32.4,1.8,70.2,14.5
"Miramar, FL",77.2,16.8,17.8,4.4,77.7,2.5,60.3,4.7,29.4,27.4,4.2,7.8,14.9,63.5,10.3,23.0,28.6,31.9,84.6,11.9,29.0,83.3,10.9,26.1,39.9,2.5,72.0,12.6
"Rio Rancho, NM",57.2,24.3,16.8,5.8,74.2,2.6,58.3,5.3,34.9,25.0,5.1,9.7,16.0,67.0,8.8,9.4,25.7,31.4,71.6,11.8,25.4,83.4,12.1,16.1,31.6,2.6,72.1,12.6
"Meridian, ID",57.9,20.6,19.6,5.8,73.4,2.2,63.4,4.7,40.4,34.7,4.6,8.9,14.4,70.8,7.3,14.0,26.6,34.5,69.9,11.8,25.0,81.1,9.7,17.1,28.1,2.2,63.0,12.2
"Lewisville, TX",66.3,17.8,20.0,4.5,70.4,2.2,61.3,4.6,33.5,30.9,4.0,8.5,17.8,62.8,8.0,20.3,25.0,31.6,74.2,11.8,32.1,82.5,10.1,22.4,32.1,2.1,69.7,12.4
"Chula Vista, CA",64.3,16.5,19.1,4.8,72.9,2.7,65.6,4.5,25.8,29.1,4.7,7.9,12.5,66.0,9.8,15.2,25.5,32.5,80.7,11.8,21.9,85.4,11.1,20.6,34.4,2.5,68.0,10.8
"Quincy, MA",77.2,23.6,17.4,6.1,77.9,2.5,66.1,5.6,29.4,29.3,5.6,9.8,15.9,70.3,8.6,7.1,29.4,33.8,81.5,11.8,24.1,80.7,10.4,20.4,34.2,2.6,77.5,14.3
"Southfield, MI",78.5,31.1,14.8,7.3,80.9,3.5,68.7,7.0,29.8,26.1,6.9,11.3,17.7,72.0,13.3,10.2,41.7,39.6,82.0,11.8,33.1,88.4,13.2,24.4,39.4,4.1,80.0,11.9
"Hayward, CA",64.9,17.2,18.0,4.8,71.7,2.6,66.3,4.7,31.5,31.1,4.7,8.8,14.6,61.9,9.7,14.3,25.6,30.5,78.2,11.8,22.7,81.2,11.1,21.0,36.7,2.4,69.1,11.6
"Missoula, MT",59.5,21.1,24.4,5.6,64.5,2.3,60.5,5.4,41.8,32.4,4.8,9.3,18.5,63.6,6.4,11.4,20.9,30.0,76.0,11.8,24.5,82.0,10.4,16.8,28.1,2.4,71.2,12.3
"Costa Mesa, CA",63.3,16.1,19.0,5.0,72.1,2.4,67.5,4.9,40.6,33.0,4.5,8.5,13.8,66.2,8.0,12.5,23.0,31.1,79.6,11.8,22.9,83.8,11.1,17.4,32.2,2.2,65.6,10.6
"Jersey City, NJ",76.4,17.9,15.4,4.3,74.3,2.6,52.2,5.3,25.9,23.1,4.7,8.3,16.9,65.3,9.1,15.5,28.8,30.6,76.7,11.7,27.8,80.0,11.7,32.9,43.6,2.6,73.9,13.6
"Chesapeake, VA",76.4,24.6,16.6,5.8,79.3,2.6,71.8,5.7,45.0,35.4,5.3,9.0,17.2,72.5,10.3,12.2,32.9,35.5,82.3,11.7,32.8,86.0,10.8,22.6,38.1,2.8,77.9,13.0
"Redlands, CA",66.6,20.0,18.0,6.1,77.3,2.7,67.8,5.3,32.7,33.2,5.3,9.1,12.9,67.9,9.0,10.5,28.3,34.5,82.2,11.7,23.8,83.7,11.1,18.2,35.4,2.6,70.2,10.4
"Cheyenne, WY",64.2,25.9,16.4,6.5,73.8,2.6,61.0,6.2,35.2,30.3,5.8,8.6,19.7,69.2,8.7,15.0,29.9,35.3,72.9,11.7,29.2,79.5,11.4,23.7,33.1,2.7,74.0,13.7
"Concord, CA",63.3,19.6,16.5,5.9,75.1,2.6,70.2,5.2,36.1,35.2,5.1,8.6,14.1,70.7,9.0,11.6,26.2,33.5,78.4,11.7,27.3,83.3,11.2,19.6,33.3,2.5,69.1,10.0
"Glendale, CA",67.3,20.8,16.6,6.5,78.6,2.9,66.1,6.0,31.4,36.6,5.7,8.4,13.3,66.4,9.5,9.7,28.3,34.8,78.3,11.7,22.5,84.2,11.9,18.6,34.6,3.0,71.7,10.0
"Asheville, NC",73.9,23.9,15.5,6.9,79.1,2.9,67.8,6.2,43.6,35.5,6.4,8.3,16.5,63.9,9.4,13.9,30.9,34.7,79.8,11.7,26.6,86.9,11.0,19.6,30.1,3.2,77.7,13.8
"Madison, WI",66.6,17.0,27.4,5.1,69.0,2.1,72.0,4.2,32.2,34.0,4.2,8.8,14.5,72.8,6.3,9.9,21.5,30.1,82.0,11.7,26.1,85.8,9.0,15.6,29.4,2.0,68.9,9.7
"Beaverton, OR",62.3,21.2,19.0,5.8,72.1,2.4,66.1,4.9,33.5,31.2,4.7,9.6,14.7,68.8,7.3,10.8,24.5,33.5,75.9,11.7,28.5,82.0,10.1,14.7,31.3,2.4,69.5,11.6
"Downey, CA",65.0,16.6,17.6,4.8,73.6,2.7,62.3,4.6,27.7,33.1,4.7,7.9,12.1,62.3,9.6,17.5,25.4,32.2,79.2,11.7,25.5,85.6,11.8,21.0,35.6,2.4,67.0,10.2
"Menifee, CA",68.1,24.7,17.4,7.4,77.0,3.3,70.8,6.7,32.3,32.7,7.3,8.7,14.3,65.7,10.8,12.2,32.8,36.3,79.8,11.7,27.3,84.3,13.0,22.7,36.7,3.5,74.0,13.6
"Edmond, OK",68.0,21.6,14.6,6.0,75.0,2.3,66.8,5.2,43.7,43.4,5.2,9.2,14.0,71.0,7.5,10.8,27.2,33.9,80.7,11.6,26.6,84.9,10.2,20.8,30.0,2.3,74.1,10.1
"San Diego, CA",64.0,16.1,20.7,5.0,72.7,2.4,69.5,4.3,29.6,33.2,4.4,8.0,12.6,69.1,8.2,11.3,24.1,30.9,81.2,11.6,19.8,85.3,9.8,17.4,33.3,2.3,67.7,8.9
"St. George, UT",62.7,25.8,10.4,7.6,66.7,3.3,69.4,5.8,36.4,27.9,6.9,8.7,9.4,71.2,9.6,13.5,29.6,38.9,72.5,11.6,24.0,78.8,11.5,18.1,30.8,3.4,74.8,12.3
"Duluth, MN",68.3,24.2,22.7,6.3,67.2,2.7,68.2,5.4,44.8,31.6,5.7,8.6,19.7,68.0,8.0,8.4,24.9,32.3,78.3,11.6,29.7,84.2,11.3,19.7,32.3,3.0,76.0,12.9
"Thornton, CO",58.5,19.3,20.2,4.7,72.1,2.2,63.0,4.4,36.9,31.3,3.9,9.2,19.8,64.1,6.3,14.8,22.0,29.7,72.7,11.6,26.2,84.1,10.5,18.3,31.5,2.1,63.8,13.4
"Colorado Springs, CO",62.0,24.1,16.3,6.1,73.7,2.5,65.8,5.0,34.7,29.0,5.0,9.5,16.3,66.8,7.1,11.4,24.6,33.4,73.5,11.6,24.1,82.2,11.2,16.6,30.3,2.6,69.5,11.6
"Billings, MT",66.1,26.4,20.4,7.3,71.9,2.7,62.7,6.2,43.4,36.5,6.3,9.1,18.7,66.4,8.8,12.1,28.8,32.6,76.1,11.6,29.5,82.9,11.7,21.3,30.4,3.0,74.1,14.0
"Peoria, AZ",67.8,25.5,17.2,7.0,78.7,2.9,66.2,5.9,37.9,33.5,6.0,9.7,15.5,69.7,8.9,11.1,28.8,36.5,79.2,11.5,26.2,,11.7,20.6,34.5,2.9,74.3,10.7
"Lee's Summit, MO",71.4,23.7,21.8,6.7,79.1,2.3,71.8,5.9,41.5,41.3,5.2,9.1,17.9,71.6,8.1,10.1,28.9,37.7,78.7,11.5,27.5,81.7,10.8,17.4,33.9,2.4,76.3,10.8
"Westminster, CA",66.5,19.1,12.4,5.3,73.1,3.0,60.7,5.7,34.1,29.1,6.1,7.9,14.3,58.4,12.7,13.7,29.6,38.0,76.6,11.5,19.6,75.9,12.8,24.4,35.9,3.0,73.6,13.2
"Waukesha, WI",67.3,22.1,24.9,5.9,74.5,2.4,66.5,5.1,31.8,32.9,5.1,8.7,17.2,73.0,7.7,10.6,26.1,34.3,78.3,11.5,28.9,83.2,10.4,18.2,33.4,2.4,72.2,11.5
"Rapid City, SD",68.9,27.5,18.1,7.0,71.7,2.9,65.8,6.3,45.5,38.3,6.8,8.3,19.4,66.2,8.7,11.6,30.5,34.5,76.8,11.5,28.0,81.5,11.9,19.9,26.4,3.3,76.1,14.1
"Layton, UT",61.0,19.8,10.1,5.2,67.3,2.3,70.1,4.3,36.5,32.3,4.1,8.7,9.5,74.4,7.6,12.0,23.1,33.0,75.4,11.5,28.8,78.8,10.3,18.1,31.4,2.1,68.2,11.1
"Denver, CO",59.5,19.3,23.9,5.3,71.0,2.4,64.2,4.2,38.3,32.1,4.3,8.8,17.3,65.3,6.2,14.8,23.7,29.2,75.3,11.4,19.8,85.2,10.3,15.4,28.4,2.4,66.7,11.5
"Virginia Beach, VA",73.7,24.6,20.1,5.7,78.8,2.3,72.2,5.1,43.9,42.6,4.8,8.5,17.1,74.0,8.8,11.9,29.5,33.8,82.2,11.4,27.7,82.6,10.1,20.6,37.5,2.3,74.4,9.9
"Buena Park, CA",65.4,17.0,15.2,4.9,73.4,2.7,63.4,5.0,37.3,31.4,5.0,8.1,13.4,62.8,10.3,13.9,25.7,33.9,78.5,11.4,21.8,80.1,11.8,20.9,34.2,2.5,69.7,10.9
"Austin, TX",63.8,14.5,20.9,4.3,69.5,2.2,64.1,4.0,35.9,28.6,3.9,8.3,14.9,65.0,7.9,20.6,22.5,30.3,79.4,11.4,25.4,83.4,9.4,20.4,29.7,2.0,69.7,10.1
"Fort Collins, CO",56.7,17.0,21.4,5.0,67.4,2.0,66.1,4.1,40.3,31.5,3.7,9.1,15.1,66.7,4.7,10.0,18.5,25.5,74.2,11.4,21.6,80.3,9.1,12.2,26.6,2.0,64.3,9.4
"Anchorage, AK",56.9,19.8,19.4,5.1,68.8,2.2,62.2,5.0,39.6,33.3,4.5,9.3,18.0,65.2,7.6,12.5,26.8,34.8,71.3,11.4,27.6,79.0,10.6,17.5,31.3,2.3,63.7,12.9
"Plantation, FL",76.9,20.7,18.3,6.5,81.0,2.6,64.8,5.8,35.3,31.3,5.5,7.4,14.2,68.6,9.6,17.5,29.4,35.5,83.0,11.3,24.9,82.1,11.0,23.5,35.4,2.8,75.3,11.0
"San Buenaventura (Ventura), CA",65.2,20.3,18.7,6.6,77.9,2.7,72.1,5.5,35.9,35.4,5.4,8.5,13.1,70.7,8.7,10.3,27.8,33.2,80.2,11.3,24.5,85.9,11.0,18.6,33.3,2.6,71.4,9.3
"Orange, CA",64.8,17.0,18.0,5.3,73.6,2.5,67.9,5.0,40.2,33.0,4.8,8.3,13.1,67.1,8.7,12.3,24.4,32.7,79.4,11.3,22.3,83.0,11.1,17.7,32.0,2.3,68.2,10.2
"Rancho Cucamonga, CA",65.4,16.9,19.6,4.8,77.2,2.3,66.8,4.4,31.0,32.8,4.1,8.8,12.8,68.9,8.1,10.3,25.8,31.9,82.7,11.3,24.1,84.0,10.1,17.0,36.9,2.1,66.4,9.9
"Bloomington, IL",66.9,23.2,20.9,6.0,74.6,2.4,64.0,5.5,38.1,31.2,5.1,9.1,16.6,68.2,7.9,9.2,27.1,32.3,76.0,11.3,32.0,84.5,10.7,21.9,33.4,2.5,73.8,12.7
"Midland, TX",67.1,22.6,19.3,5.8,72.6,2.6,59.1,5.2,34.7,30.6,5.5,8.6,16.3,63.3,9.7,21.6,30.8,35.9,75.5,11.3,32.7,81.4,11.2,25.4,32.5,2.6,74.7,11.6
"St. Paul, MN",67.0,19.2,20.1,5.0,69.4,2.5,65.0,4.4,35.5,31.8,4.7,8.5,17.6,68.1,8.2,11.1,23.5,29.9,81.9,11.3,29.7,81.6,10.2,19.3,30.5,2.7,72.7,14.0
"Murrieta, CA",65.7,18.9,20.0,5.6,76.0,2.4,70.5,4.8,34.7,35.6,4.8,8.4,13.8,69.6,8.0,9.8,26.4,31.5,80.8,11.3,25.6,84.7,10.5,18.7,37.3,2.3,67.9,10.0
"Livonia, MI",72.9,30.6,22.4,8.6,83.0,2.8,71.5,7.4,37.7,36.1,6.9,9.7,17.1,78.3,8.4,7.6,32.3,38.6,79.7,11.3,28.0,84.3,11.5,18.8,35.6,2.9,77.7,8.7
"Chandler, AZ",65.4,20.3,18.6,5.3,76.9,2.4,65.4,4.6,37.6,34.5,4.2,9.4,14.8,70.7,7.3,11.0,24.0,32.5,80.0,11.2,25.3,,10.0,18.4,35.2,2.1,68.9,9.4
"Surprise, AZ",68.9,27.2,16.2,7.7,79.6,3.1,70.1,6.2,39.1,36.0,6.6,9.6,15.6,69.1,9.6,11.8,31.0,38.1,78.9,11.2,26.7,,11.8,20.9,34.2,3.0,76.2,9.7
"Clifton, NJ",76.9,22.5,16.8,6.2,79.5,2.7,56.7,6.0,34.7,28.4,5.9,8.1,16.1,71.4,8.8,14.5,30.7,34.7,76.3,11.2,27.8,82.5,11.5,29.3,36.7,2.6,75.3,12.2
"Santa Clarita, CA",66.1,17.5,19.7,5.6,78.5,2.3,68.1,4.7,32.9,39.3,4.3,8.1,12.4,70.1,7.7,10.0,24.3,31.4,79.4,11.2,22.9,85.8,10.4,16.0,34.4,2.2,67.3,7.6
"Whittier, CA",65.9,17.4,18.1,5.4,76.0,2.7,65.0,4.6,30.1,35.0,4.8,7.7,11.4,65.9,9.2,15.2,25.4,32.3,79.7,11.2,25.0,86.5,11.4,19.3,34.3,2.4,67.9,8.7
"Temecula, CA",65.1,17.6,21.0,5.2,76.3,2.2,70.9,4.4,35.3,36.6,4.2,8.3,13.5,71.3,7.4,9.2,24.8,30.5,81.2,11.1,25.0,84.8,9.9,17.5,37.1,2.0,66.0,8.9
"Omaha, NE",65.2,22.7,21.7,5.8,69.6,2.8,63.2,6.0,41.2,35.0,5.7,8.6,19.6,67.0,8.9,16.2,29.4,35.0,76.5,11.1,33.2,80.1,10.8,24.5,31.7,3.0,76.6,15.7
"Carrollton, TX",68.5,19.8,17.8,5.1,74.0,2.4,61.5,4.9,34.2,31.8,4.7,8.3,16.1,64.2,9.5,20.0,28.0,35.4,74.3,11.1,30.6,81.0,10.6,23.8,32.0,2.3,73.3,10.8
"Burbank, CA",66.6,18.6,18.4,6.0,79.2,2.5,67.7,5.0,32.2,37.4,4.8,8.1,12.3,69.1,8.3,9.5,25.4,32.1,79.3,11.1,22.5,85.6,10.7,16.6,34.1,2.5,69.2,8.5
"Cedar Rapids, IA",70.0,24.6,20.5,6.6,72.7,2.5,67.3,5.4,44.8,39.0,5.8,8.1,16.6,73.1,8.4,7.3,29.3,35.2,78.3,11.1,32.2,85.8,9.9,22.2,28.1,2.7,75.3,13.1
"San Leandro, CA",67.5,19.9,16.1,5.8,76.2,2.8,67.1,5.1,32.7,31.8,5.4,8.7,14.0,64.1,10.6,11.7,28.4,32.8,78.1,11.0,21.2,80.3,11.3,21.1,36.2,2.8,73.1,11.3
"McKinney, TX",68.9,19.2,19.8,5.1,75.6,2.1,65.4,4.4,37.0,35.8,4.2,8.4,15.2,65.7,7.7,15.9,25.0,33.7,77.3,11.0,29.4,82.1,9.5,21.2,33.5,2.0,70.5,11.3
"Round Rock, TX",67.3,17.2,21.8,4.6,73.7,2.1,64.4,4.2,34.3,33.5,3.8,8.5,16.1,66.3,7.8,18.1,26.2,31.8,77.1,11.0,33.2,84.6,9.7,21.5,34.3,1.9,68.4,9.7
"Lakewood, CA",67.4,18.0,17.8,5.6,78.5,2.5,66.5,4.8,31.2,37.7,4.6,8.0,12.3,68.1,8.8,10.6,26.2,32.4,79.0,11.0,22.7,84.4,10.6,17.7,35.8,2.4,69.4,8.2
"Elk Grove, CA",65.3,17.2,17.8,5.1,75.4,2.4,71.8,4.5,31.8,29.4,4.3,9.0,13.0,69.0,8.6,9.0,27.7,30.5,79.7,11.0,24.4,81.4,10.1,18.2,37.0,2.2,67.0,8.7
"Washington, DC",78.6,18.0,24.3,4.8,77.2,2.6,67.4,5.1,31.7,27.8,4.3,10.1,17.3,74.7,8.9,7.8,28.2,30.9,82.1,11.0,25.2,87.3,9.0,17.2,36.4,3.0,74.7,14.4
"Santa Fe, NM",64.2,26.6,14.7,6.8,75.7,3.1,61.4,5.4,30.7,27.5,6.1,9.3,13.4,68.7,10.0,10.8,27.0,32.8,71.1,11.0,18.8,82.5,12.4,16.3,27.1,2.9,75.7,10.3
"Renton, WA",61.0,20.2,17.0,5.5,71.5,2.6,65.3,4.7,39.9,35.1,4.7,9.1,13.1,68.2,8.4,11.0,26.0,33.5,77.3,11.0,24.4,,10.1,16.2,32.2,2.4,65.7,9.7
"Simi Valley, CA",64.7,18.6,19.6,6.0,78.6,2.3,72.7,4.9,35.9,36.7,4.7,8.4,13.0,72.6,8.0,8.8,25.8,31.9,80.0,10.9,23.1,85.1,10.1,17.4,33.8,2.2,69.9,8.6
"Berkeley, CA",64.7,15.1,19.6,4.9,70.0,2.1,75.4,3.7,38.2,36.6,3.7,8.8,11.2,70.0,6.5,7.7,20.9,27.1,81.5,10.9,18.5,83.2,8.2,14.2,32.2,1.9,68.2,6.7
"Pembroke Pines, FL",77.4,20.8,17.1,6.3,80.6,3.0,61.9,5.7,31.6,27.1,6.1,7.1,13.1,66.6,11.1,21.4,30.3,36.1,82.7,10.9,25.7,82.2,11.6,26.4,35.8,3.1,76.3,14.1
"Norwalk, CT",70.1,21.7,18.2,6.2,80.4,2.5,72.2,4.9,34.7,33.8,5.1,8.9,14.0,74.3,8.4,10.1,26.5,33.8,82.8,10.9,25.5,,10.6,19.8,35.0,2.5,72.9,8.0
"Santa Barbara, CA",64.8,18.4,18.9,6.2,75.0,2.6,70.1,5.0,34.5,32.7,5.2,8.4,12.0,70.9,8.4,11.6,26.6,32.7,78.6,10.9,23.8,84.2,10.7,17.6,27.2,2.5,69.0,9.4
"Gilbert, AZ",64.8,19.0,20.3,5.0,77.9,2.1,67.0,4.1,39.1,36.6,3.7,9.3,14.7,73.6,6.3,9.0,22.1,30.9,80.4,10.9,24.5,,9.1,16.3,34.8,1.8,67.0,7.6
"New Rochelle, NY",72.5,24.4,18.0,6.4,78.8,2.8,68.5,5.9,37.0,32.6,5.9,10.4,14.1,67.7,9.8,12.3,28.7,36.8,78.8,10.9,23.8,83.5,11.5,25.7,34.9,2.9,75.3,13.9
"Tustin, CA",64.4,15.3,16.8,4.7,73.3,2.3,67.0,4.4,39.9,33.2,4.2,8.0,12.5,66.4,8.4,12.7,23.1,31.5,79.6,10.9,21.6,82.7,10.5,18.0,33.0,2.1,66.4,9.7
"Fullerton, CA",65.6,16.7,16.0,5.3,73.2,2.5,66.5,4.7,40.2,33.1,4.8,8.0,12.3,66.3,9.1,12.2,24.9,33.2,79.3,10.9,21.0,81.5,10.8,18.4,32.5,2.3,69.4,9.3
"Cambridge, MA",72.3,15.3,20.6,4.3,73.0,1.7,73.3,3.4,34.6,32.3,3.2,9.7,12.0,72.2,5.4,6.1,20.4,26.7,85.4,10.9,20.5,83.9,7.2,15.1,31.9,1.6,70.8,11.0
"Minneapolis, MN",66.5,16.0,23.9,4.6,68.3,2.3,67.1,3.9,36.5,36.6,4.0,8.5,17.3,68.8,6.7,10.5,22.7,28.7,81.7,10.9,25.3,84.0,8.8,17.6,30.4,2.4,70.6,11.5
"Carson, CA",69.6,18.3,14.6,5.1,76.9,2.9,64.1,4.7,26.0,34.1,5.0,8.1,11.9,62.7,11.8,13.9,30.4,34.3,79.4,10.9,24.1,82.8,11.3,21.3,38.4,2.8,73.0,9.5
"Longmont, CO",57.4,21.9,20.0,6.1,73.7,2.5,61.8,5.1,38.6,35.4,5.0,8.5,15.0,67.3,6.6,12.4,24.2,30.8,69.6,10.8,18.2,82.3,11.0,13.6,26.0,2.5,69.3,10.9
"Roseville, CA",64.9,20.3,19.7,6.7,78.7,2.5,72.9,5.2,39.2,34.9,5.2,8.5,12.5,71.0,7.8,7.7,26.6,33.1,79.7,10.8,21.3,84.6,10.0,16.3,31.1,2.5,70.9,9.4
"Boulder, CO",54.2,15.5,22.7,4.6,64.7,1.9,65.7,3.5,41.5,37.0,3.3,8.4,12.6,69.9,4.2,9.1,17.5,25.5,71.8,10.8,14.9,82.1,8.0,10.1,24.2,1.7,63.5,7.9
"Bolingbrook, IL",67.9,19.6,19.8,4.7,74.8,2.3,60.7,4.8,32.5,27.9,4.3,9.0,16.9,63.9,8.8,12.3,27.4,32.5,77.0,10.7,34.7,83.7,10.6,24.1,34.6,2.2,71.6,14.0
"Mount Pleasant, SC",64.1,23.9,22.2,6.9,82.4,2.3,75.3,4.8,53.0,42.3,4.9,7.9,13.2,74.2,7.9,8.8,28.0,35.5,79.1,10.7,24.8,83.9,9.5,16.6,29.5,2.2,76.6,7.4
"Livermore, CA",65.5,18.7,21.5,6.0,79.1,2.3,72.6,4.7,38.1,37.1,4.5,8.8,13.4,72.4,7.5,8.2,23.8,29.9,79.3,10.7,21.3,84.6,9.9,15.2,32.7,2.1,68.9,8.1
"Lakewood, CO",62.8,24.4,19.5,6.8,75.2,2.6,64.1,5.0,34.3,37.9,5.5,9.0,16.2,67.7,7.0,11.7,24.9,33.0,76.2,10.7,24.2,82.5,10.8,15.2,27.1,2.7,70.8,9.7
"Lincoln, NE",63.1,19.3,24.3,5.7,68.5,2.4,65.7,4.8,45.4,37.5,4.7,8.3,17.2,70.2,7.2,13.2,23.9,33.3,75.7,10.7,28.7,83.0,8.7,19.9,28.0,2.4,74.5,10.4
"Sandy, UT",63.6,20.0,16.0,5.9,72.6,2.2,72.4,3.9,36.7,36.0,4.1,8.7,9.7,76.6,6.9,9.8,23.4,33.3,78.6,10.7,24.2,79.7,9.1,13.8,29.1,2.1,69.3,8.4
"Loveland, CO",61.1,23.7,19.0,7.2,76.6,2.6,66.9,5.3,40.3,32.1,5.5,8.9,15.7,68.0,6.5,9.9,24.9,30.6,72.7,10.6,23.4,80.6,11.0,14.0,26.7,2.8,71.5,9.9
"Redwood City, CA",63.4,17.1,17.9,5.6,76.1,2.4,69.7,4.4,37.6,36.3,4.4,8.2,12.2,71.7,8.0,11.9,25.3,29.6,81.2,10.6,25.0,84.2,9.8,17.4,31.7,2.1,67.9,8.4
"Westminster, CO",60.6,20.7,20.7,5.5,74.6,2.2,65.2,4.3,37.9,34.9,4.2,8.9,17.2,68.7,6.1,11.3,22.5,30.6,74.5,10.6,24.0,83.5,9.7,15.4,29.1,2.1,66.9,11.0
"Pasadena, CA",67.2,17.6,17.1,5.6,78.0,2.6,67.7,4.5,31.3,36.7,4.6,7.9,11.0,67.7,8.9,11.2,26.0,31.7,80.7,10.5,22.9,86.2,10.3,17.2,34.5,2.5,69.9,8.1
"Sioux Falls, SD",68.8,21.8,20.0,6.2,70.9,2.4,66.2,5.3,44.4,42.2,5.6,7.9,19.0,71.5,7.7,11.3,25.9,30.4,82.2,10.4,31.5,82.9,9.9,18.6,27.2,2.6,74.9,12.7
"Stamford, CT",70.0,20.8,18.1,6.2,79.8,2.5,72.7,4.6,35.3,33.4,4.9,8.6,13.0,74.8,8.1,10.0,26.0,33.3,83.1,10.4,24.4,,10.0,19.2,34.6,2.4,72.8,7.8
"Hoover, AL",73.0,24.0,17.8,6.6,82.1,2.3,74.0,5.3,46.3,38.6,5.2,7.9,14.1,74.5,8.3,10.3,30.7,35.9,81.0,10.4,29.2,85.5,9.9,20.4,32.9,2.2,77.7,8.3
"Miami Beach, FL",74.7,16.9,18.3,5.7,77.5,3.0,56.6,5.2,27.8,24.3,5.8,6.4,13.4,66.8,9.8,24.1,27.0,34.9,83.4,10.4,23.8,83.3,10.9,30.5,31.2,2.7,76.5,10.8
"West Covina, CA",66.9,16.7,15.7,5.0,76.2,2.6,63.0,4.2,28.0,34.5,4.6,7.3,11.0,64.7,10.1,14.1,26.3,33.4,78.8,10.4,21.9,83.0,10.7,20.3,36.1,2.4,70.2,8.7
"League City, TX",68.2,19.2,20.8,5.2,77.8,2.1,64.1,4.2,40.1,30.4,4.0,8.2,15.3,69.7,8.1,13.6,27.8,32.3,75.6,10.3,31.2,81.3,9.4,20.1,34.8,1.9,73.3,7.7
"Huntington Beach, CA",67.0,18.9,18.1,6.4,79.2,2.5,72.1,5.0,43.7,36.5,5.1,8.2,12.1,72.5,8.5,8.2,25.8,33.8,79.7,10.3,21.1,83.6,10.4,15.2,30.7,2.4,71.0,7.7
"Arvada, CO",63.5,25.0,20.0,7.1,77.9,2.5,66.0,5.0,35.5,39.5,5.3,9.0,16.1,70.5,6.7,9.6,25.0,33.1,76.1,10.3,23.7,82.7,10.4,14.1,26.8,2.5,71.0,8.8
